3,2,2
4,2,2
20,1,1
23,1,1
24,1,1
29,2,2
30,2,2
31,2,2
50,1,1
51,1,1
56,2,2
57,2,2
58,2,2
74,1,1
77,1,1
78,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,2,2
91,1,1
92,1,1
95,1,1
96,1,1
97,1,1
99,1,1
100,2,2
101,2,2
102,2,2
118,1,1
121,1,1
122,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,2,2
134,1,1
135,1,1
136,1,1
139,1,1
140,1,1
141,1,1
143,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,2,2
151,1,1
152,1,1
153,1,1
156,1,1
157,1,1
158,1,1
160,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,2,2
168,1,1
169,1,1
170,1,1
173,1,1
174,1,1
175,1,1
177,1,1
178,2,2
179,2,2
180,2,2
196,1,1
199,1,1
200,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,2,2
212,1,1
213,1,1
214,1,1
217,1,1
218,1,1
219,1,1
221,1,1
222,2,2
223,2,2
224,2,2
240,1,1
243,1,1
244,1,1
249,2,2
250,2,2
251,2,2
267,1,1
270,1,1
271,1,1
276,2,2
277,2,2
278,2,2
294,1,1
297,1,1
298,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,2,2
310,1,1
311,1,1
312,1,1
315,1,1
316,2,2
317,1,1
319,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,2,2
327,1,1
328,1,1
329,1,1
332,1,1
333,1,1
334,1,1
336,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,2,2
344,1,1
345,1,1
346,1,1
349,1,1
350,1,1
351,1,1
353,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,2,2
361,1,1
362,1,1
363,1,1
366,1,1
367,1,1
368,1,1
370,1,1
371,2,2
372,2,2
373,2,2
389,1,1
392,1,1
393,1,1
399,1,1
400,1,1
401,1,1
402,1,1
403,2,2
405,1,1
406,1,1
407,1,1
410,1,1
411,1,1
412,1,1
414,1,1
415,2,2
416,2,2
417,2,2
433,1,1
436,1,1
437,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,2,2
449,1,1
450,1,1
451,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,2,2
460,2,2
461,2,2
477,1,1
480,1,1
481,1,1
487,1,1
488,1,1
489,1,1
490,1,1
491,2,2
493,1,1
494,1,1
495,1,1
498,1,1
499,2,2
500,1,1
502,1,1
503,2,2
504,2,2
505,2,2
521,1,1
524,1,1
525,1,1
531,1,1
532,1,1
533,1,1
534,1,1
535,2,2
538,1,1
539,1,1
542,1,1
544,1,1
546,1,1
547,2,2
548,2,2
549,2,2
565,1,1
568,1,1
569,1,1
574,2,2
575,2,2
576,2,2
592,1,1
595,1,1
596,1,1
602,1,1
603,1,1
604,1,1
605,1,1
606,2,2
608,1,1
609,1,1
610,1,1
613,1,1
614,1,1
615,1,1
617,1,1
619,1,1
620,1,1
621,1,1
622,1,1
623,2,2
625,1,1
626,1,1
627,1,1
630,1,1
631,1,1
632,1,1
634,1,1
636,1,1
637,1,1
638,1,1
639,1,1
640,2,2
642,1,1
643,1,1
644,1,1
647,1,1
648,1,1
649,1,1
650,1,1
651,1,1
653,1,1
654,1,1
655,1,1
656,1,1
657,2,2
659,1,1
660,1,1
661,1,1
664,1,1
665,2,2
666,1,1
668,1,1
670,1,1
671,1,1
672,1,1
673,1,1
674,2,2
676,1,1
677,1,1
678,1,1
681,1,1
682,1,1
683,1,1
685,1,1
686,2,2
687,2,2
688,2,2
704,1,1
707,1,1
708,1,1
714,1,1
715,1,1
716,1,1
717,1,1
718,2,2
720,1,1
721,1,1
722,1,1
725,1,1
726,1,1
727,1,1
729,1,1
731,1,1
732,1,1
733,1,1
734,1,1
735,2,2
737,1,1
738,1,1
739,1,1
742,1,1
743,1,1
744,1,1
746,1,1
747,2,2
748,2,2
749,2,2
765,1,1
768,1,1
769,1,1
774,2,2
775,2,2
776,2,2
792,1,1
795,1,1
796,1,1
802,1,1
803,1,1
804,1,1
805,1,1
806,2,2
808,1,1
809,1,1
810,1,1
813,1,1
814,1,1
815,1,1
817,1,1
819,1,1
820,1,1
821,1,1
822,1,1
823,2,2
825,1,1
826,1,1
827,1,1
830,1,1
831,1,1
832,1,1
834,1,1
836,1,1
837,1,1
838,1,1
839,1,1
840,2,2
842,1,1
843,1,1
844,1,1
847,1,1
848,1,1
849,1,1
851,1,1
853,1,1
854,1,1
855,1,1
856,1,1
857,2,2
859,1,1
860,1,1
861,1,1
864,1,1
865,1,1
866,1,1
868,1,1
869,2,2
870,2,2
871,2,2
887,1,1
890,1,1
891,1,1
897,1,1
898,1,1
899,1,1
900,1,1
901,2,2
903,1,1
904,1,1
905,1,1
909,1,1
910,1,1
912,1,1
914,1,1
915,1,1
916,1,1
917,1,1
918,2,2
921,1,1
922,1,1
925,1,1
926,2,2
927,1,1
929,1,1
930,2,2
931,2,2
932,2,2
948,1,1
951,1,1
952,1,1
958,1,1
959,1,1
960,1,1
961,1,1
962,2,2
964,1,1
965,1,1
966,1,1
969,1,1
970,2,2
971,1,1
973,1,1
974,2,2
975,2,2
976,2,2
992,1,1
995,1,1
996,1,1
1001,2,2
1002,2,2
1003,2,2
1019,1,1
1022,1,1
1023,1,1
1028,2,2
1029,2,2
1030,2,2
1046,1,1
1049,1,1
1050,1,1
1056,1,1
1057,1,1
1058,1,1
1059,1,1
1060,2,2
1062,1,1
1063,1,1
1064,1,1
1067,1,1
1068,1,1
1069,1,1
1071,1,1
1072,2,2
1073,2,2
1074,2,2
1090,1,1
1093,1,1
1094,1,1
1100,1,1
1101,1,1
1102,1,1
1103,1,1
1104,2,2
1106,1,1
1107,1,1
1108,1,1
1111,1,1
1112,2,2
1113,1,1
1115,1,1
1116,2,2
1117,2,2
1118,2,2
1134,1,1
1137,1,1
1138,1,1
1144,1,1
1145,1,1
1146,1,1
1147,1,1
1148,2,2
1150,1,1
1151,1,1
1152,1,1
1155,1,1
1156,2,2
1157,1,1
1159,1,1
1160,2,2
1161,2,2
1162,2,2
1178,1,1
1181,1,1
1182,1,1
1187,2,2
1188,2,2
1189,2,2
1205,1,1
1208,1,1
1209,1,1
1214,2,2
1215,2,2
1216,2,2
1232,1,1
1235,1,1
1236,1,1
1242,1,1
1243,1,1
1244,1,1
1245,1,1
1246,2,2
1248,1,1
1249,1,1
1250,1,1
1253,1,1
1254,2,2
1255,1,1
1257,1,1
1258,2,2
1259,2,2
1260,2,2
1276,1,1
1279,1,1
1280,1,1
1285,2,2
1286,2,2
